Configuration, Workload, Subworkload, Iteration, Parameters, ScoreName, ScoreValue
default,spec06Server,429.mcf,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1772.ref.rsf
default,spec06Server,429.mcf,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1882.25
default,spec06Server,445.gobmk,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1773.ref.rsf
default,spec06Server,445.gobmk,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1196.38
default,spec06Server,456.hmmer,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1774.ref.rsf
default,spec06Server,456.hmmer,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,2141.32
default,spec06Server,458.sjeng,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1775.ref.rsf
default,spec06Server,458.sjeng,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,1288.88
default,spec06Server,462.libquantum,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1776.ref.rsf
default,spec06Server,462.libquantum,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,11722.64
default,spec06Server,464.h264ref,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1777.ref.rsf
default,spec06Server,464.h264ref,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,2109.3
default,spec06Server,471.omnetpp,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1778.ref.rsf
default,spec06Server,471.omnetpp,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,Score,736.93
default,spec06Server,473.astar,1,NumCopiesMode=auto_NumCopies=2_Mode=rate_CompileType=base_CompilerVersion=14.0_InstructionSet=avx2,RSF_File_Name,CINT2006.1779.ref.rsf
